Title,Year,Review,Rating (/5)
Captain Marvel,2019,"It had some fun moments and Brie Larson was solid, but it didn’t hit as hard as other Marvel intros.",3.6
Captain America: The Winter Soldier,2014,One of the best in the MCU. More grounded and spy-thriller-ish — felt like a big step up.,4.8
Rogue One: A Star Wars Story,2016,"A little slow at the start, but that last act? Absolutely nailed it.",3.9
Annihilation,2018,"Weird and beautiful. Some scenes really stuck with me — not for everyone, but I was into it.",3.8
Se7en,1995,"Dark, disturbing, and so well done. That ending is iconic for a reason.",4.8
The Martian,2015,Science-y but super watchable. Matt Damon made it way more fun than expected.,4.0
Doctor Strange,2016,"Visually wild and fun to watch. The story’s kind of basic, but the effects and magic made up for it.",3.4
The Lord of the Rings: The Fellowship of the Ring,2001,Such a cozy epic. The start of something massive — love the vibe of this one the most.,5.0
Bohemian Rhapsody,2018,"Amazing music and Rami Malek crushed it. Not the most accurate, but definitely entertaining.",3.8
Incredibles 2,2018,"Not quite as fresh as the first, but still a fun ride. Jack-Jack scenes were gold.",3.7
Forrest Gump,1994,A classic for a reason. So heartfelt and sweet — it somehow works every time.,4.5
Avengers: Age of Ultron,2015,"Had some cool moments but felt a bit bloated. Not the MCU’s finest, but still entertaining.",3.3
Back to the Future,1985,Such a fun and clever classic. The kind of movie that never really gets old.,5.0
A Star Is Born,2018,Emotional and raw. Gaga and Cooper had real chemistry — that ending hit hard.,4.4
Iron Man,2008,Started it all and still holds up. Downey Jr. was perfect in this role.,4.3
Spider-Man: Far From Home,2019,"Fun and light with a solid twist. Not as strong as Homecoming, but still good.",4.0
The Incredibles,2004,"Cool, clever, and surprisingly mature for a kids’ movie. Easily one of Pixar’s best.",4.4
Ant-Man,2015,Way more fun than I expected. Loved the heist vibes and Paul Rudd’s charm carries it.,3.8
Toy Story,1995,"The one that started it all. A bit dated visually now, but still full of heart and nostalgia.",5.0
WALL·E,2008,"Quiet, emotional, and beautifully made. Such a unique and bold film from Pixar.",4.4
The Lord of the Rings: The Return of the King,2003,Massive and emotional. It wrapped things up perfectly — deserved all the Oscars.,5.0
Up,2009,That opening montage is legendary. The rest is quirky and heartwarming.,4.2
Split,2016,McAvoy was amazing in this. Super tense and creepy — great return to form for Shyamalan.,4.0
Zootopia,2016,"Clever, colorful, and surprisingly layered. A great mix of fun and social commentary.",4.0
Kingsman: The Secret Service,2014,"Ridiculous in the best way. Stylish action, great cast, and tons of fun.",3.8
"I, Tonya",2017,Messy and electric. Margot Robbie totally owned this role.,4.4
Ant-Man and the Wasp,2018,"Not as strong as the first, but still breezy and fun. Great chemistry between the leads.",3.6
The Lion King,1994,One of the most iconic animated films ever. Incredible music and pure emotion.,5.0
The Lord of the Rings: The Two Towers,2002,Amazing battles and darker tone. Helm’s Deep is still one of the best action scenes ever.,4.8
Captain America: The First Avenger,2011,"A bit underrated. Has a charming, old-school feel and sets up Cap’s arc well.",4.2
Finding Nemo,2003,"Sweet, funny, and visually stunning. One of Pixar’s most heartfelt stories.",4.5
Ready Player One,2018,"So much pop culture crammed into one movie. Not deep, but a fun ride if you're into that stuff.",3.8
Suicide Squad,2016,"A mess, but kind of entertaining in a chaotic way. Great trailer, mid execution.",2.5
Iron Man 3,2013,"A little different from what I expected but still enjoyable. Not the best Iron Man, but had its moments.",3.3
Toy Story 3,2010,This one emotionally wrecked me. That ending was perfect — such a strong sequel.,5.0
The Breakfast Club,1985,An all-time classic. Still feels relatable and honest in a way a lot of teen movies don’t.,5.0
Harry Potter and the Prisoner of Azkaban,2004,This one had a whole different vibe — darker and more stylish. Definitely one of the best.,4.4
Ratatouille,2007,Completely charming. Gorgeous animation and a surprising message about creativity.,4.6
Shaun of the Dead,2004,Hilarious and surprisingly heartfelt. One of the best horror-comedies out there.,4.5
Moana,2016,"Beautiful animation, catchy songs, and a great lead. Just a really feel-good film.",4.3
Inception,2010,"Mind-bending and stylish. You kind of have to rewatch it to really get it, but worth it.",5.0
Harry Potter and the Philosopher's Stone,2001,"Pure childhood magic. Not the best in the series, but it started everything off so well.",3.7
Jurassic World,2015,"It’s no original, but still a fun dinosaur spectacle. Chris Pratt does his thing.",3.6
Fantastic Beasts and Where to Find Them,2016,"Cool ideas and creatures, but didn’t totally capture the Harry Potter magic for me.",3.6
Thor,2011,"Not the strongest MCU entry, but it laid the groundwork. Pretty solid for an origin story.",3.5
"Monsters, Inc.",2001,"Funny, adorable, and surprisingly emotional. That ending hits hard every time.",4.9
Batman v Superman: Dawn of Justice,2016,"Tried to do too much too fast. Visually cool, but the story felt all over the place.",2.5
It Follows,2014,Creepy in a slow-burn way. Super unique concept and eerie atmosphere.,3.9
Avatar,2009,"Looked amazing in theaters, but the story was pretty basic. Still a huge achievement.",3.7
Good Will Hunting,1997,So emotional and well-acted. That park bench scene? Iconic.,4.9
Toy Story 4,2019,"Didn’t need to exist, but ended up being way more emotional than I expected.",4.1
Prisoners,2013,Incredibly tense and dark. One of those movies that really gets under your skin.,4.5
Iron Man 2,2010,"A bit of a step down from the first. Still fun, but felt like a filler.",2.8
Harry Potter and the Deathly Hallows: Part 2,2011,"The perfect ending. Emotional, action-packed, and satisfying.",4.8
X-Men: Days of Future Past,2014,Super ambitious and actually worked. One of the best X-Men films.,4.0
Big Hero 6,2014,Heartwarming and visually awesome. Baymax alone makes it worth watching.,4.5
The Lego Movie,2014,Way more clever and emotional than I thought it would be. Just a blast to watch.,4.4
The Perks of Being a Wallflower,2012,Tender and really heartfelt. One of those rare teen movies that actually gets it.,4.6
Thor: The Dark World,2013,"Probably the weakest MCU movie. Not terrible, just kind of forgettable.",2.5
Toy Story 2,1999,Somehow even better than the first. Great balance of humor and emotion.,4.8
Skyfall,2012,Slick and stylish. One of the best-looking Bond films with a killer villain.,4.8
Venom,2018,"Tonally all over the place, but kind of fun if you just roll with it.",2.9
The Hunger Games,2012,A solid adaptation with great casting. The start of a big YA moment.,4.1
Spider-Man 2,2004,One of the best superhero sequels ever. That train scene is still unbeatable.,4.6
Harry Potter and the Chamber of Secrets,2002,"Darker than the first and more interesting. Not the best, but solid.",4.0
Spider-Man,2002,"Kind of cheesy now, but it was a huge deal back then. Willem Dafoe went all in.",3.8
Frozen,2013,"The songs took over the world. Cute story, great animation, maybe a little overhyped.",4.1
Bird Box,2018,Started strong but kind of fell apart. Fun for the memes though.,3.0
Harry Potter and the Goblet of Fire,2005,Some big moments in this one. The vibe was darker and the stakes felt real.,4.1
Ferris Bueller's Day Off,1986,Effortlessly cool and still funny. Total comfort movie.,4.5
Harry Potter and the Deathly Hallows: Part 1,2010,"Mostly setup, but still tense and emotional. The camping section drags a bit though.",4.2
Zombieland,2009,"Sharp, silly, and a surprisingly good time. Great chemistry across the cast.",3.9
Harry Potter and the Order of the Phoenix,2007,Felt like a turning point in the series. That ending battle was great.,3.7
It Chapter Two,2019,"A bit messier than the first, but still had some cool moments. The cast was solid.",3.4
Justice League,2017,Theatrical version was kind of a mess. Didn’t really live up to the hype.,2.5
Harry Potter and the Half-Blood Prince,2009,"Moody and more focused on characters. Not much action, but I liked the tone.",4.0
The Great Gatsby,2013,"Visually stunning and super stylish. Maybe too flashy for some, but I dug the vibe.",4.2
Man of Steel,2013,"Visually striking and more serious than most superhero films. Not perfect, but I liked the darker take.",3.7
Shrek,2001,"Iconic in every way. Hilarious, heartfelt, and endlessly quotable.",5.0
The Hobbit: An Unexpected Journey,2012,"A bit stretched out, but still fun to be back in Middle-earth.",3.5
Home Alone,1990,Total classic. Still funny and surprisingly sweet after all these years.,4.5
Juno,2007,Witty and heartfelt with great performances. The dialogue is a little quirky but it works.,4.2
Pirates of the Caribbean: The Curse of the Black Pearl,2003,A total adventure. Johnny Depp crushed it — this one's still a blast.,4.6
Ghostbusters,1984,"Funny, weird, and kind of iconic. The original still holds up.",4.3
The Hunger Games: Catching Fire,2013,"Bigger, darker, and better than the first. This is where it got really good.",4.4
Wreck-It Ralph,2012,Nostalgic and super clever. It’s got heart and humor in equal measure.,4.0
Life of Pi,2012,Visually stunning and surprisingly moving. More emotional than I expected.,4.4
Pacific Rim,2013,"Giant robots vs. monsters — it delivers exactly that. Big, dumb fun in a good way.",3.4
Crazy Rich Asians,2018,So stylish and sweet. Rom-com energy with a fresh twist and gorgeous scenery.,4.0
Looper,2012,"Really smart time-travel story. Grimy, cool, and thought-provoking.",4.1
Mean Girls,2004,"Still hilarious, endlessly quotable, and sharp. One of the best teen comedies ever.",5.0
X-Men: First Class,2011,A strong reboot. Great casting and that Cold War vibe worked well.,3.8
The Conjuring,2013,Genuinely scary and super well-made. Easily one of the best modern horror films.,4.4
21 Jump Street,2012,Way funnier than I thought it would be. Great chemistry and self-aware humor.,4.1
Beauty and the Beast,2017,The animated version is a masterpiece. Stunning animation and lovely music.,5.0
X-Men: Apocalypse,2016,Felt like too much crammed into one movie. Some cool moments but mostly forgettable.,2.5
The Amazing Spider-Man,2012,"Good chemistry between the leads and some fresh visuals, but didn’t feel super necessary.",3.5
How to Train Your Dragon,2010,Wholesome and beautifully animated. Toothless is an instant icon.,4.7
The Greatest Showman,2017,The music is super catchy and the energy is high — even if the story’s kinda glossed over.,3.9
The Edge of Seventeen,2016,"Sharp, awkward, and really relatable. A standout teen movie.",4.6
The Princess Bride,1987,"Timeless. Funny, romantic, and endlessly quotable.",5.0
Scream,1996,Meta and genuinely scary. Such a clever twist on slasher tropes.,4.5
The Hobbit: The Desolation of Smaug,2013,Faster and more exciting than the first Hobbit. Smaug was a highlight.,4.2
The Theory of Everything,2014,Emotional and beautifully acted. Eddie Redmayne really transformed for this role.,4.3
The World's End,2013,"Weird, funny, and a bit more serious than expected. A fun end to the Cornetto trilogy.",3.9
Black Mirror: Bandersnatch,2018,"Cool idea with the choose-your-own adventure format, but the story felt a bit hollow.",3.1
Aladdin,1992,"A Disney classic. So colorful and fun, with one of the best soundtracks ever.",5.0
Back to the Future Part II,1989,Not as tight as the first but still super fun. Love the futuristic chaos.,4.0
Casino Royale,2006,"Sharp, stylish, and gritty. A great reboot for Bond.",4.7
The Hangover,2009,"Totally chaotic and hilarious. The first time you watch it, it’s wild.",4.0
Kick-Ass,2010,"Bloody, funny, and way more intense than expected. Not for everyone, but I dug it.",4.3
Coraline,2009,Creepy and beautiful. A spooky little gem with such a cool vibe.,4.4
Brave,2012,"Not top-tier Pixar, but still visually stunning and heartfelt.",3.6
Mulan,1998,One of the most empowering Disney films. Great music and an awesome lead character.,5.0
Tangled,2010,Gorgeous animation and a really fun twist on the classic princess story.,4.5
Fantastic Beasts: The Crimes of Grindelwald,2018,Kind of messy and hard to follow. Gorgeous to look at but lacking that spark.,2.6
Spider-Man 3,2007,All over the place. Some fun moments but way too crowded.,2.5
The Hobbit: The Battle of the Five Armies,2014,Lots of action but felt like it dragged. Not the strongest ending to the trilogy.,3.1
Now You See Me,2013,Slick and fast-paced. Not super deep but entertaining and stylish.,4.0
The Amazing Spider-Man 2,2014,"Some emotional moments and great visuals, but the plot was all over the place.",2.9
Beauty and the Beast,1991,The animated version is a masterpiece. Stunning animation and lovely music.,5.0
Lion,2016,Incredibly moving. That final act had me holding back tears.,4.7
This Is the End,2013,Completely ridiculous and hilarious. Such a chaotic good time.,4.1
World War Z,2013,Some cool set pieces but kind of generic overall. It was fine.,3.1
To All the Boys I've Loved Before,2018,Sweet and surprisingly charming. A solid teen rom-com.,3.7
22 Jump Street,2014,"Just as funny as the first, maybe even more self-aware. Great sequel.",4.2
The Hunger Games: Mockingjay – Part 1,2014,Mostly setup for the finale. A bit slow but necessary to build tension.,3.3
The Jungle Book,2016,Charming and full of personality. The music and characters are timeless.,3.8
Monsters University,2013,"Not as strong as the original, but still fun. I liked the college setting.",3.5
Godzilla,2014,"Big and loud, but I wanted more Godzilla and less human drama.",2.9
Shrek 2,2004,Arguably better than the first. So many iconic scenes and jokes.,4.6
Charlie and the Chocolate Factory,2005,Visually cool but kind of off. Depp’s take was… different.,2.9
Men in Black,1997,Classic 90s fun. Great chemistry and a super cool premise.,4.4
Clueless,1995,"Funny, fashionable, and iconic. Still totally watchable today.",4.3
The Pianist,2002,Absolutely heartbreaking and beautifully acted. Hard to watch but unforgettable.,4.9
Easy A,2010,Smart and super funny. Emma Stone is so good in this.,4.2
Les Misérables,2012,"Epic and emotional. Some uneven singing, but it really pulls at you.",4.1
X-Men,2000,"A bit dated now, but it kicked off modern superhero movies for a reason.",3.1
The Lion King,2019,One of the most iconic animated films ever. Incredible music and pure emotion.,4.9
It's a Wonderful Life,1946,Sentimental in the best way. Timeless and heartwarming.,5.0
The Devil Wears Prada,2006,Stylish and sharp. Streep and Hathaway are so good together.,4.4
Hugo,2011,"A love letter to cinema. Visually stunning, but a little slow.",3.8
About Time,2013,So sweet and quietly profound. One of my favorite romantic films.,4.2
Lucy,2014,Cool concept but kind of went off the rails. Still entertaining though.,3.2
Me and Earl and the Dying Girl,2015,"Quirky and touching. Doesn’t play it safe, and I really appreciated that.",4.5
A Simple Favor,2018,"Slick, stylish, and kind of wild. Anna Kendrick and Blake Lively had great chemistry.",4.1
The Wizard of Oz,1939,Magical and legendary. One of those movies that truly never gets old.,5.0
Mamma Mia!,2008,Silly but irresistible. You’re either into it or you’re not — I was.,3.7
Pirates of the Caribbean: Dead Man's Chest,2006,Overstuffed but still fun. Davy Jones was a cool villain.,3.5
The Hunger Games: Mockingjay – Part 2,2015,Dark and heavy. Wrapped things up well but felt a bit bleak.,3.2
"Crazy, Stupid, Love.",2011,Funny and unexpectedly heartfelt. The cast really makes it shine.,4.6
A Beautiful Mind,2001,Emotional and well-acted. A fascinating story that hits hard.,4.6
Aladdin,2019,"A Disney classic. So colorful and fun, with one of the best soundtracks ever.",5.0
Passengers,2016,Interesting premise but some weird story choices. Gorgeous to look at though.,3.0
Cars,2006,"Not my favorite Pixar, but kids love it. Has its charm.",3.6
Ted,2012,"Raunchy and surprisingly sweet? A weird combo, but it worked more than I expected.",3.6
Ghostbusters,2016,"Funny, weird, and kind of iconic. The original still holds up.",4.4
Mamma Mia! Here We Go Again,2018,Even more chaotic than the first — and I loved it anyway.,4.0
Despicable Me,2010,"Cute and funny. The minions are a lot, but it’s hard not to smile.",4.1
Paddington,2014,Adorable and full of heart. A lovely surprise if you’ve never seen it.,4.7
Alice in Wonderland,2010,Visually cool but kind of hollow. Didn’t fully land for me.,3.1
Back to the Future Part III,1990,"The western setting is fun, even if it’s the weakest of the trilogy.",3.6
Love Actually,2003,Charming and messy in a way that somehow works. Total holiday comfort watch.,3.9
A Bug's Life,1998,"One of the earlier Pixars — not as iconic, but still fun and solid.",3.5
Pitch Perfect,2012,Silly and catchy in the best way. Great soundtrack and fun energy.,3.8
Sausage Party,2016,"Super weird and very crude — not for everyone, but it had moments.",2.4
Kung Fu Panda,2008,"Funny, exciting, and surprisingly heartfelt. Way better than expected.",3.9
Maleficent,2014,Cool reimagining of a classic story. Jolie was perfect in the role.,3.4
Happy Death Day,2017,Fun and clever twist on the slasher genre. Way more entertaining than I thought.,3.5
How to Train Your Dragon 2,2014,Even more emotional than the first. Gorgeous animation and great world-building.,4.7
Captain Phillips,2013,"Super tense and really well-acted. Hanks killed it, but the pirate captain stole the show.",4.5
Grease,1978,Cheesy and classic. The music carries it — still fun decades later.,4.0
Elf,2003,"Instant Christmas classic. So goofy and warm-hearted, it’s hard not to love.",4.4
Bridesmaids,2011,Hilarious and honest. One of the best modern comedies.,4.5
The Little Mermaid,1989,Charming and iconic. Kickstarted the Disney Renaissance for a reason.,4.4
The Emperor's New Groove,2000,Totally weird and totally hilarious. Way funnier than it gets credit for.,3.9
The Help,2011,"Powerful performances and emotional storytelling. Not perfect, but very moving.",4.0
The Fault in Our Stars,2014,Sweet and emotional. Hits all the teen romance beats but in a sincere way.,4.0
The Virgin Suicides,1999,Dreamy and haunting. Beautifully shot and quietly unsettling.,4.3
Hercules,1997,"Fun, energetic, and great music. Underrated Disney pick.",4.2
Lilo & Stitch,2002,So sweet and heartfelt. The animation style and story are both super unique.,4.4
The Intouchables,2011,"Funny, touching, and so well-acted. An uplifting story that really sticks with you.",5.0
The Conjuring 2,2016,A strong sequel with solid scares. The vibe is eerie without going over the top.,4.2
Tomb Raider,2018,"Decent reboot. Alicia Vikander was solid, but the story didn’t really wow me.",3.0
Independence Day,1996,"Pure 90s chaos — in a fun way. Over-the-top, patriotic, and very entertaining.",4.1
Dark Phoenix,2019,Felt tired and flat. Not the sendoff this cast deserved.,2.0
Ice Age,2002,"Simple but fun. The characters are lovable, and the squirrel always gets me.",3.7
Transformers,2007,"Loud, flashy, and kind of fun if you just want to turn your brain off.",2.9
Twilight,2008,Campy and awkward but has its charm. It’s a vibe if you’re in the mood for it.,3.1
The Maze Runner,2014,"Fast-paced and intriguing. A strong start to the series, even if it gets messier later.",3.7
Pride & Prejudice,2005,Beautiful and broody. The 2005 version is romantic in a really quiet way.,4.6
The Interview,2014,Pretty dumb but funny if you’re into that kind of humor. Controversial but whatever.,3.1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Whimsical and magical. A great adaptation that still holds up visually.,4.0
The Notebook,2004,Classic romance with all the drama. That ending still gets people.,3.9
The Simpsons Movie,2007,"Silly and fun. If you like the show, you’ll probably enjoy this.",3.6
Home Alone 2: Lost in New York,1992,Pretty much the first movie again but in NYC. Still fun though.,3.5
X-Men Origins: Wolverine,2009,Yikes. Not the best use of Wolverine or Deadpool. Some fun action though.,2.2
Atonement,2007,Heartbreaking and beautifully shot. The tracking shot on the beach is stunning.,4.6
Willy Wonka & the Chocolate Factory,1971,"Weird, whimsical, and kind of dark in a fun way. Gene Wilder is iconic.",4.0
Neighbors,2014,Raunchy but hilarious. Great if you’re in the mood for something ridiculous.,3.6
The Sound of Music,1965,Classic musical with unforgettable songs. Long but so full of heart.,5.0
Night at the Museum,2006,Goofy and imaginative. Great concept that works surprisingly well.,3.9
Romeo + Juliet,1996,Visually wild but strangely effective. DiCaprio and Danes have great chemistry.,4.0
How to Train Your Dragon: The Hidden World,2019,A beautiful and emotional end to the trilogy. Toothless forever.,4.5
Hush,2016,"Simple premise, great execution. Tense and satisfying thriller.",4.2
Snow White and the Seven Dwarfs,1937,"The one that started it all. A bit dated, but still magical.",4.1
Valerian and the City of a Thousand Planets,2017,Visually creative but kind of a mess story-wise.,2.4
Total Recall,1990,Classic sci-fi action with a weird edge. The original still holds up.,4.1
Taken,2008,Super intense and totally rewatchable. Neeson’s speech lives rent-free in my head.,4.2
The Girl on the Train,2016,"Tried to be another Gone Girl, but didn’t quite land. Still decent suspense.",3.1
Madagascar,2005,"Silly fun with catchy music. Kids love it, adults tolerate it.",3.2
Wonder,2017,Sweet and emotional. Great message and heartwarming performances.,4.0
Elysium,2013,Cool world-building but kind of a letdown story-wise. Neat visuals though.,2.7
Tarzan,1999,Underrated Disney movie. That Phil Collins soundtrack goes hard.,3.9
The Purge,2013,"Cool idea, average execution. The sequels handled it better.",3.0
Mr. & Mrs. Smith,2005,"Stylish and fun. The action-comedy mix worked, and the chemistry was strong.",4.2
Rango,2011,Weird and surprisingly deep. Definitely not your usual animated movie.,3.9
Zoolander,2001,So dumb and yet so funny. Endlessly quotable if you're in the right mood.,3.9
Mary Poppins,1964,Magical and full of charm. Julie Andrews is iconic in this.,5.0
Despicable Me 2,2013,"Cute and funny. More of the same, but still enjoyable.",3.5
We're the Millers,2013,Crude but surprisingly funny. The fake family dynamic totally works.,3.4
Legally Blonde,2001,"Funny, empowering, and way smarter than people expect. Total classic.",4.6
Now You See Me 2,2016,"Tries to go bigger, but loses some of the charm. Still entertaining enough.",3.1
The Secret Life of Pets,2016,"Cute and colorful. Definitely aimed at kids, but adults won’t hate it.",3.8
Pocahontas,1995,"Beautiful animation and music, even if the story is super simplified.",4.0
How the Grinch Stole Christmas,2000,"Jim Carrey went all in. Creepy and chaotic, but it works somehow.",3.3
Panic Room,2002,Tense and well-acted. Simple premise done really well.,4.1
The Adventures of Tintin,2011,Visually slick and fun. Kind of underrated as an animated adventure.,3.9
Divergent,2014,Another YA dystopian flick. Started off okay but never fully stood out.,3.1
Men in Black 3,2012,Better than the second one. The time travel twist was actually kinda clever.,3.6
Pinocchio,1940,Classic Disney with a surprisingly dark edge. Still holds up in a nostalgic way.,3.9
Pretty Woman,1990,Charming and iconic. Julia Roberts absolutely owns this movie.,4.5
Blockers,2018,Surprisingly heartfelt and really funny. Way better than expected.,3.8
Lolita,1962,Controversial and uncomfortable by design. Beautifully shot but very heavy.,4.0
Fantasia,1940,"Visually stunning and ambitious. Not for everyone, but it’s a piece of animation history.",4.7
Nerve,2016,"Cool concept and some intense moments. A bit cheesy, but still fun.",3.6
The Pursuit of Happyness,2006,Inspiring and emotional. Will Smith gives one of his best performances.,4.5
The Polar Express,2004,"A little uncanny visually, but still magical. Great for cozy holiday vibes.",3.3
Megamind,2010,Funny and clever. A fun spin on the supervillain story.,3.9
"Girl, Interrupted",1999,Powerful and haunting. Winona and Angelina are both amazing in this.,4.5
Shrek the Third,2007,"Not as strong as the others. Some laughs, but it felt tired.",2.1
Cinderella,2015,Classic fairytale Disney. Simple but sweet and iconic.,4.2
Matilda,1996,Whimsical and empowering. One of the best kids movies out there.,4.5
Horrible Bosses,2011,Crude and chaotic but really funny. The cast totally sells it.,3.5
Fantastic Four,2005,Disappointing reboot. Never really found its tone.,1.9
Alice in Wonderland,1951,Visually cool but kind of hollow. Didn’t fully land for me.,3.2
Cloudy with a Chance of Meatballs,2009,So weird but so funny. One of those animated films that’s more fun than it looks.,4.1
Mrs. Doubtfire,1993,"Funny, heartfelt, and Robin Williams at his best. Still holds up.",4.5
The Shallows,2016,Simple survival thriller with solid tension. Blake Lively was great in it.,3.5
Step Brothers,2008,"So dumb, so funny. Just pure chaos from start to finish.",4.2
Bambi,1942,Heartbreaking and beautiful. One of Disney’s most emotional classics.,4.1
The Jungle Book,1967,Charming and full of personality. The music and characters are timeless.,4.2
The Hangover Part II,2011,"Basically a copy of the first, but with less impact. Still had its moments.",3.0
Chicken Run,2000,Clever and weirdly intense. Claymation at its best.,4.1
Miss Peregrine's Home for Peculiar Children,2016,"Interesting world and visuals. Didn’t totally land, but had potential.",2.9
Men in Black II,2002,"Nowhere near as fresh as the first, but still fun if you liked the characters.",2.9
The Princess and the Frog,2009,Lovely animation and music. Tiana is such a great lead.,4.7
The Good Dinosaur,2015,"Visually stunning, but the story didn’t quite hit like other Pixar films.",2.9
Warm Bodies,2013,"Surprisingly sweet for a zombie rom-com. Kind of weird, but I liked it.",3.7
Kick-Ass 2,2013,"Not as sharp as the first. Some fun moments, but kind of forgettable.",3.0
Hancock,2008,Cool idea that loses steam halfway through. Will Smith still carries it though.,2.9
Into the Woods,2014,"Great cast and some solid songs, but it felt uneven and dragged by the end.",2.9
13 Going on 30,2004,Sweet and nostalgic. One of the better body-swap-style rom-coms.,4.3
Dumbo,1941,"Short, sad, and sweet. Not a lot happens, but the emotion hits hard.",3.6
National Treasure,2004,Goofy fun with just enough mystery. Total guilty pleasure adventure movie.,4.0
The Princess Diaries,2001,Classic glow-up story. Super cute and Anne Hathaway is great in it.,4.1
50 First Dates,2004,"Sweet, funny, and just weird enough to be memorable.",3.4
Pitch Perfect 2,2015,"Not as fresh as the first, but still full of fun musical moments.",3.3
The Nun,2018,Had the creepy atmosphere but leaned more style than substance.,2.7
Bright,2017,Cool premise but messy execution. Tries to do too much.,2.4
The Hunchback of Notre Dame,1996,"Dark, dramatic, and beautifully animated. One of Disney’s more intense movies.",4.1
A Monster Calls,2016,Absolutely heartbreaking and beautifully made. One of those that stays with you.,4.5
2012,2009,Total disaster movie chaos. Fun if you don’t think too hard.,2.8
Me Before You,2016,"Romantic and emotional, though a bit controversial. Emilia Clarke was great.",3.4
The Blind Side,2009,"Inspirational and feel-good, even if it simplifies things. Sandra Bullock was solid.",4.1
Peter Pan,1953,Classic Disney with a whimsical charm. Still fun to revisit.,4.1
Minions,2015,"Kids love it, adults tolerate it. Loud and chaotic but has its moments.",3.0
Enchanted,2007,Funny and creative. A sweet spin on fairytale tropes.,4.0
The Parent Trap,1998,Nostalgic and super cute. Lindsay Lohan crushed it as both twins.,4.1
Forgetting Sarah Marshall,2008,"Funny, honest, and surprisingly heartfelt. One of the best rom-coms from that era.",4.3
One Hundred and One Dalmatians,1961,Classic animation style and a great villain. Cruella steals the show.,4.2
Tomorrowland,2015,Cool ideas and visuals but didn’t quite come together. A bit underwhelming.,2.9
Sixteen Candles,1984,"Classic 80s teen movie. A bit dated in parts, but still has charm.",4.0
Bridget Jones's Diary,2001,"Funny, relatable, and really well-acted. Such a comfort rom-com.",3.9
Notting Hill,1999,Sweet and charming. Julia Roberts and Hugh Grant are great together.,4.6
Dumbo,2019,"Short, sad, and sweet. Not a lot happens, but the emotion hits hard.",3.6
Hocus Pocus,1993,Campy and fun. A Halloween must-watch even if it’s totally over the top.,4.0
